# vehicleID, maxLat, minLat, maxLong, minLong
1027138,38.513678,38.461578,-82.582928,-82.671457
1027140,37.666895,37.632293,-96.200303,-96.228729
1027145,37.63361,37.60446,-112.077245,-112.116844
1027173,42.199628,42.140121,-71.921342,-72.149651
1027176,34.26454,34.212433,-96.503529,-96.551846
1027188,31.79412,31.73837,-103.111401,-103.159746
1027197,46.705508,46.656522,-94.303747,-94.346061
1027201,36.553584,36.505066,-94.281476,-94.364283
1027211,45.707229,45.641306,-88.170467,-88.672675
1027217,39.175956,39.132938,-111.209644,-111.804436
1027220,39.189343,39.145337,-110.929424,-111.389903
1027222,39.280671,39.19012,-99.759259,-113.026295
1027226,41.254837,41.210946,-73.92346,-74.047917
1027227,38.223841,38.19652,-98.185632,-98.264605
1027231,44.652639,44.59995,-90.079284,-90.153528
1027233,39.847972,39.804046,-83.121976,-83.219759
1027236,40.674491,40.643055,-86.118161,-86.172512
1027238,30.586948,30.5323,-84.551083,-84.615053
1027241,36.754571,36.696903,-91.834646,-91.894916
1027244,37.928335,37.870686,-85.291326,-85.32371
1027250,39.331594,39.289819,-88.673678,-90.535144
1027254,33.387059,33.314397,-117.160048,-117.324153
1027276,35.01364,34.957177,-81.326598,-81.359879
1027283,47.528976,47.4789,-122.238026,-122.298829
1027285,35.22209,35.186806,-118.598519,-118.675558
1027287,37.730806,37.652575,-120.281695,-120.33597
1027292,38.968315,38.919,-123.680237,-123.883003
1027307,38.265627,38.20332,-85.599518,-85.670039
1027319,38.54297,38.495904,-85.742517,-85.786945
1027333,29.5022,29.471914,-95.745244,-95.908311
1027336,35.759069,35.668097,-106.540389,-106.734893
1027366,40.448879,40.412331,-84.451627,-84.528427
1027367,42.008506,41.98059,-75.502099,-75.622132
1027372,36.450847,36.39167,-98.16183,-98.304817
1027373,39.411919,39.343267,-77.372078,-77.845896
1027374,32.753732,32.687972,-97.244728,-97.417562
1027378,34.70302,34.634798,-90.815388,-90.876209
1027379,32.994545,32.928233,-79.577564,-104.599387
1027380,37.537732,37.463824,-105.828279,-105.865879
1027402,45.055048,45.00741,-96.397254,-96.533145
1027422,36.534389,36.49191,-93.36765,-93.500738
1027428,32.597174,32.563698,-89.07817,-89.170132
1027431,38.664109,38.621573,-99.91459,-99.983191
1027432,40.116609,40.08369,-93.647448,-93.694485
1027443,44.605044,44.563147,-94.175955,-94.229488
1027444,33.410828,33.362446,-93.531544,-93.628918
1027446,34.454693,34.410186,-81.795226,-81.84298
1027451,39.824693,39.785666,-77.665954,-77.755092
1027462,38.133064,38.097893,-86.238095,-86.30495
1027465,40.410978,40.372182,-80.21455,-80.297734
1027466,41.176749,41.088235,-73.92253,-73.992153
1027477,36.019125,35.965567,-85.344747,-86.004662
1027486,42.621393,42.524106,-114.624971,-114.917773
1027491,38.840273,38.756956,-76.698344,-76.786388
1027503,46.725871,46.656974,-93.453931,-93.507034
1027519,39.583619,39.542423,-74.368025,-74.511047
1027529,40.316774,40.257057,-76.454001,-76.529912
1027530,37.326467,37.282919,-84.652867,-84.685215
1027532,27.450437,27.414938,-98.498713,-98.547291
1027536,37.040568,37.014665,-101.88699,-101.956891
1027552,35.455931,35.358247,-88.256055,-88.325543
1027554,36.103139,36.047972,-91.698101,-92.387568
1027559,34.961119,34.91391,-79.694509,-79.760798
1027561,34.652243,34.602563,-83.483783,-83.542121
1027562,38.842868,38.788068,-76.728294,-76.838028
1027566,39.201507,39.161023,-94.101924,-94.697546
1027574,37.034873,36.993678,-96.245425,-96.303659
1027576,30.664478,30.593046,-90.153522,-90.205247
1027582,36.199187,36.140527,-114.142475,-116.123304
1027594,26.938881,26.895454,-81.783077,-82.092396
